72.5714,23.0225,Ahmedabad,149,Gujurat
77.0219,20.7059,Akola,108,Maharashtra
81.8463,25.4358,Allahabad,100,Uttar Pradesh
76.6346,27.553,Alwar,48,Rajasthan
80.3575,16.573,Amravathi,40,Maharashtra
85.1511,20.8444,Angul,38,Odisha
73.0152,21.6264,Ankleshwar,122,Gujurat
75.3433,19.8762,Aurangabad,58,Maharashtra
76.7914,30.9578,Baddi,69,Himachal Pradesh
86.9246,21.4869,Balasore,144,Odisha
77.5946,12.9716,Bangalore,70,Karnataka
84.7941,19.315,Berhampur,52,Odisha
77.4126,23.2599,Bhopal,79,Madhya Pradesh
76.7794,30.7333,Chandighar,54,Odisha
75.9238,14.4663,Davangere,43,Karnataka
28.7041,77.1025,Delhi,170,Union Territory
76.0508,22.9623,Dewas,51,Madhya Pradesh
93.7537,25.863,Dimapur,47,Nagaland
87.3119,23.5204,Durgapur,90,West Bengal
78.3958,27.1591,Firozabad,57,Uttar Pradesh
80.4365,16.3067,Guntur,83,Andhra Pradesh
78.1828,26.2183,Gwalior,105,Madhya Pradesh
88.2636,22.5958,Howrah,93,West Bengal
78.4867,17.385,Hyderabad,44,Andhra Pradesh
75.8577,22.7196,Indore,98,Madhya Pradesh
76.5762,33.7782,Jammu,75,Jammu and Kashmir
70.0577,22.4707,Jamnagar,84,Gujarat
78.5685,25.4484,Jhansi,101,Uttar Pradesh
73.0243,26.2389,Jodhpur,63,Rajasthan
76.2673,9.9312,Kochi,74,Kerala
88.3639,22.5726,Kolkata,176,West Bengal
82.7501,22.3595,Korba,67,Chhattisgarh
80.9462,26.8467,Lucknow,53,Uttar Pradesh
75.8573,30.901,Ludhiana,81,Punjab
77.7064,28.9845,Meerut,59,Uttar Pradesh
79.0882,21.1458,Nagpur,61,Maharashtra
91.4411,26.4446,Nalbari,49,Assam
79.2,17.1883,Nalgonda,39,Telangana
76.355,31.3866,Naya Nangal,73,Punjab
85.1376,25.5941,Patna,122,Bihar
79.4816,18.7596,Ramagundam,87,Telangana
87.0924,23.6291,Raniganj,76,West Bengal
78.2676,30.0869,Rishikesh,115,Uttarakhand
84.8536,22.2604,Rourkela,42,Odisha
94.6425,26.9826,Sibsagar,114,Assam
92.7789,24.8333,Silchar,64,Assam
72.8311,21.1702,Surat,55,Gujurat
73.7125,24.5854,Udaipur,95,Rajasthan
72.9106,20.3893,Vapi,113,Gujurat
